arm,imgsz,n_seeds,map50_mean,map50_std,map5095_mean,macs_M,latency_ms,energy_mj,gap9_power_mw,energy_provenance
base,192,3,0.7679,0.0171,0.3867,42,51.28,2.63,40.1,measured (Wiese2025 Table I; op-identical architecture)
base,320,3,0.8623,0.0046,0.4567,116,81.97,5.46,58.7,measured (Wiese2025 Table I; op-identical architecture)
base,512,3,0.9071,0.002,0.4963,297,149.25,12.99,73.9,measured (Wiese2025 Table I; op-identical architecture)
focal,192,3,0.7426,0.0151,0.3959,42,51.28,2.63,40.1,measured (Wiese2025 Table I; op-identical architecture)
focal,320,3,0.8391,0.0132,0.4691,116,81.97,5.46,58.7,measured (Wiese2025 Table I; op-identical architecture)
focal,512,3,0.8791,0.0047,0.4943,297,149.25,12.99,73.9,measured (Wiese2025 Table I; op-identical architecture)
focal_noiw,192,3,0.6954,0.0177,0.3677,42,51.28,2.63,40.1,measured (Wiese2025 Table I; op-identical architecture)
focal_noiw,320,3,0.8147,0.0024,0.4443,116,81.97,5.46,58.7,measured (Wiese2025 Table I; op-identical architecture)
focal_noiw,512,3,0.8692,0.0109,0.4879,297,149.25,12.99,73.9,measured (Wiese2025 Table I; op-identical architecture)
nwd,192,3,0.7793,0.0133,0.4062,42,51.28,2.63,40.1,measured (Wiese2025 Table I; op-identical architecture)
nwd,320,3,0.8369,0.0107,0.4593,116,81.97,5.46,58.7,measured (Wiese2025 Table I; op-identical architecture)
nwd,512,3,0.8863,0.0047,0.4948,297,149.25,12.99,73.9,measured (Wiese2025 Table I; op-identical architecture)
